Id,Nombre,Abreviatura,Codigo,Nacionalidad,CreadoPor,FechaCreacion,ModificadoPor,FechaModificacion,CreadoPorId,ModificadoPorId
64,FINLANDIA,FIN,9462,Finlandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
65,FRANCIA,FRA,9465,Francés/esa,SA,2025-04-28T16:29:47.3200000,,,,
66,GABON,GAB,9468,Gabonés/esa,SA,2025-04-28T16:29:47.3200000,,,,
67,GAMBIA,GMB,9471,Gambiano/a,SA,2025-04-28T16:29:47.3200000,,,,
68,GHANA,GHA,9474,Ghanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
69,GIBRALTAR,GIB,9477,Gibraltareño/a,SA,2025-04-28T16:29:47.3200000,,,,
70,GRECIA,GRC,9480,Griego/a,SA,2025-04-28T16:29:47.3200000,,,,
71,GRENADA,GRD,9481,Granadino/a,SA,2025-04-28T16:29:47.3200000,,,,
72,GUATEMALA,GTM,9483,Guatemalteco/a,SA,2025-04-28T16:29:47.3200000,,,,
73,GUINEA,GIN,9486,Guineano/a,SA,2025-04-28T16:29:47.3200000,,,,
74,GUYANA,GUY,9487,Guyanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
75,HAITI,HTI,9495,Haitiano/a,SA,2025-04-28T16:29:47.3200000,,,,
76,HOLANDA,NLD,9498,Holandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
77,HONDURAS,HND,9501,Hondureño/a,SA,2025-04-28T16:29:47.3200000,,,,
78,HONG KONG,HKG,9504,Hongkonés/esa,SA,2025-04-28T16:29:47.3200000,,,,
79,HUNGRIA,HUN,9507,Húngaro/a,SA,2025-04-28T16:29:47.3200000,,,,
80,INDONESIA,IDN,9513,Indonesio/a,SA,2025-04-28T16:29:47.3200000,,,,
81,IRAK,IRQ,9516,Iraquí,SA,2025-04-28T16:29:47.3200000,,,,
82,IRAN,IRN,9519,Iraní,SA,2025-04-28T16:29:47.3200000,,,,
83,IRLANDA,IRL,9522,Irlandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
84,ISLANDIA,ISL,9525,Islandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
85,ISLAS SALOMON,SLB,9526,Salomonense,SA,2025-04-28T16:29:47.3200000,,,,
86,ISRAEL,ISR,9528,Israelí,SA,2025-04-28T16:29:47.3200000,,,,
87,ITALIA,ITA,9531,Italiano/a,SA,2025-04-28T16:29:47.3200000,,,,
88,JAMAICA,JAM,9534,Jamaicano/a,SA,2025-04-28T16:29:47.3200000,,,,
89,JAPON,JPN,9537,Japonés/esa,SA,2025-04-28T16:29:47.3200000,,,,
90,JORDANIA,JOR,9540,Jordano/a,SA,2025-04-28T16:29:47.3200000,,,,
91,KENIA,KEN,9543,Keniano/a,SA,2025-04-28T16:29:47.3200000,,,,
92,KIRIBATI,KIR,9544,Kiribatiano/a,SA,2025-04-28T16:29:47.3200000,,,,
93,KUWAIT,KWT,9546,Kuwaití,SA,2025-04-28T16:29:47.3200000,,,,
94,LAOS,LAO,9549,Laosiano/a,SA,2025-04-28T16:29:47.3200000,,,,
95,LESOTHO,LSO,9552,Lesotano/a,SA,2025-04-28T16:29:47.3200000,,,,
96,LIBANO,LBN,9555,Libanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
97,LIBERIA,LBR,9558,Liberiano/a,SA,2025-04-28T16:29:47.3200000,,,,
98,LIBIA,LBY,9561,Libio/a,SA,2025-04-28T16:29:47.3200000,,,,
99,LIECHTENSTEIN,LIE,9564,Liechtensteiniano/a,SA,2025-04-28T16:29:47.3200000,,,,
100,LUXEMBURGO,LUX,9567,Luxemburgués/esa,SA,2025-04-28T16:29:47.3200000,,,,
101,MADAGASCAR,MDG,9570,Malgache,SA,2025-04-28T16:29:47.3200000,,,,
102,MALASIA,MYS,9573,Malasio/a,SA,2025-04-28T16:29:47.3200000,,,,
103,MALAWI,MWI,9576,Malawiano/a,SA,2025-04-28T16:29:47.3200000,,,,
104,MALDIVAS,MDV,9577,Maldivo/a,SA,2025-04-28T16:29:47.3200000,,,,
105,MALTA,MLT,9582,Maltés/esa,SA,2025-04-28T16:29:47.3200000,,,,
106,MARRUECOS,MAR,9585,Marroquí,SA,2025-04-28T16:29:47.3200000,,,,
107,MASCATE Y OMAN,OMN,9591,Omaní,SA,2025-04-28T16:29:47.3200000,,,,
108,MAURICIO,MUS,9594,Mauriciano/a,SA,2025-04-28T16:29:47.3200000,,,,
109,MAURITANIA,MRT,9597,Mauritano/a,SA,2025-04-28T16:29:47.3200000,,,,
110,MEXICO,MEX,9600,Mexicano/a,SA,2025-04-28T16:29:47.3200000,,,,
111,MICRONESIA,FSM,9601,Micronesio/a,SA,2025-04-28T16:29:47.3200000,,,,
112,MONACO,MCO,9603,Monegasco/a,SA,2025-04-28T16:29:47.3200000,,,,
113,MONGOLIA,MNG,9606,Mongol/a,SA,2025-04-28T16:29:47.3200000,,,,
114,MOZAMBIQUE,MOZ,9609,Mozambiqueño/a,SA,2025-04-28T16:29:47.3200000,,,,
115,NAURU,NRU,9611,Nauruano/a,SA,2025-04-28T16:29:47.3200000,,,,
116,NEPAL,NPL,9612,Nepalí,SA,2025-04-28T16:29:47.3200000,,,,
117,NICARAGUA,NIC,9615,Nicaragüense,SA,2025-04-28T16:29:47.3200000,,,,
118,NIGER,NER,9618,Nigerino/a,SA,2025-04-28T16:29:47.3200000,,,,
119,NIGERIA,NGA,9621,Nigeriano/a,SA,2025-04-28T16:29:47.3200000,,,,
120,NORUEGA,NOR,9624,Noruego/a,SA,2025-04-28T16:29:47.3200000,,,,
121,NVA CALEDONIA,NCL,9627,Neocaledonio/a,SA,2025-04-28T16:29:47.3200000,,,,
122,NVA ZELANDIA,NZL,9633,Neozelandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
123,NUEVAS HEBRIDAS,VUT,9636,Vanuatense,SA,2025-04-28T16:29:47.3200000,,,,
124,PAPUA NV GUINEA,PNG,9638,Papú/a,SA,2025-04-28T16:29:47.3200000,,,,
125,PAKISTAN,PAK,9639,Pakistaní,SA,2025-04-28T16:29:47.3200000,,,,
126,PANAMA,PAN,9642,Panameño/a,SA,2025-04-28T16:29:47.3200000,,,,
127,PARAGUAY,PRY,9645,Paraguayo/a,SA,2025-04-28T16:29:47.3200000,,,,
128,PERU,PER,9648,Peruano/a,SA,2025-04-28T16:29:47.3200000,,,,
129,POLONIA,POL,9651,Polaco/a,SA,2025-04-28T16:29:47.3200000,,,,
130,QATAR EL,QAT,9660,Qatarí,SA,2025-04-28T16:29:47.3200000,,,,
131,REINO UNIDO,GBR,9663,Británico/a,SA,2025-04-28T16:29:47.3200000,,,,
132,EGIPTO,EGY,9666,Egipcio/a,SA,2025-04-28T16:29:47.3200000,,,,
133,RODESIA,ZWE,9669,Rodesiano/a,SA,2025-04-28T16:29:47.3200000,,,,
134,RUANDA,RWA,9672,Ruandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
135,RUMANIA,ROU,9675,Rumano/a,SA,2025-04-28T16:29:47.3200000,,,,
136,SAN MARINO,SMR,9677,Sanmarinense,SA,2025-04-28T16:29:47.3200000,,,,
137,SAMOA OCCID,WSM,9678,Samoano/a,SA,2025-04-28T16:29:47.3200000,,,,
138,SAINT KITTS AND NEVIS,KNA,9679,Sancristobaleño/a,SA,2025-04-28T16:29:47.3200000,,,,
139,SANTA LUCIA,LCA,9680,Santa Luciense,SA,2025-04-28T16:29:47.3200000,,,,
140,SENEGAL,SEN,9681,Senegalés/esa,SA,2025-04-28T16:29:47.3200000,,,,
141,SAOTOME Y PRINC,STP,9682,Santomense,SA,2025-04-28T16:29:47.3200000,,,,
142,SN VIC Y GRENAD,VCT,9683,Sanvicentino/a,SA,2025-04-28T16:29:47.3200000,,,,
143,SIERRA LEONA,SLE,9684,Sierraleonés/esa,SA,2025-04-28T16:29:47.3200000,,,,
144,SINGAPUR,SGP,9687,Singapurense,SA,2025-04-28T16:29:47.3200000,,,,
145,SIRIA,SYR,9690,Sirio/a,SA,2025-04-28T16:29:47.3200000,,,,
146,SEYCHELLES,SYC,9691,Seychellense,SA,2025-04-28T16:29:47.3200000,,,,
147,SOMALIA,SOM,9693,Somalí,SA,2025-04-28T16:29:47.3200000,,,,
148,SUDAFRICA REP,ZAF,9696,Sudafricano/a,SA,2025-04-28T16:29:47.3200000,,,,
149,SUDAN,SDN,9699,Sudanés/esa,SA,2025-04-28T16:29:47.3200000,,,,
150,SUECIA,SWE,9702,Sueco/a,SA,2025-04-28T16:29:47.3200000,,,,
151,SUIZA,CHE,9705,Suizo/a,SA,2025-04-28T16:29:47.3200000,,,,
152,SURINAM,SUR,9706,Surinamés/esa,SA,2025-04-28T16:29:47.3200000,,,,
153,SRI LANKA,LKA,9707,Sri Lankés/esa,SA,2025-04-28T16:29:47.3200000,,,,
154,SUECILANDIA,SWE,9708,Suecilandés/esa,SA,2025-04-28T16:29:47.3200000,,,,
155,TANZANIA,TZA,9714,Tanzano/a,SA,2025-04-28T16:29:47.3200000,,,,
156,TOGO,TGO,9717,Togolés/esa,SA,2025-04-28T16:29:47.3200000,,,,
